User_ID,cat,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Purchase,aver,prob
1000001,1,F,0-17,10,A,2,0,61604,,
1000001,2,F,0-17,10,A,2,0,40027,,
1000001,3,F,0-17,10,A,2,0,119859,,
1000001,4,F,0-17,10,A,2,0,129943,,
1000001,5,F,0-17,10,A,2,0,52068,,
1000001,6,F,0-17,10,A,2,0,31822,,
1000001,8,F,0-17,10,A,2,0,123837,,
1000001,9,F,0-17,10,A,2,0,18179,,
1000001,12,F,0-17,10,A,2,0,61279,,
1000001,14,F,0-17,10,A,2,0,27268,,
1000001,15,F,0-17,10,A,2,0,8839,,
1000001,16,F,0-17,10,A,2,0,33068,,
1000001,17,F,0-17,10,A,2,0,29157,,
1000001,20,F,0-17,10,A,2,0,612,,
1000002,1,M,55+,16,C,4+,0,413669,,
1000002,2,M,55+,16,C,4+,0,132113,,
1000002,5,M,55+,16,C,4+,0,115806,,
1000002,6,M,55+,16,C,4+,0,136668,,
1000002,8,M,55+,16,C,4+,0,460149,,
1000002,9,M,55+,16,C,4+,0,11788,,
1000002,10,M,55+,16,C,4+,0,15952,,
1000002,11,M,55+,16,C,4+,0,16957,,
1000002,13,M,55+,16,C,4+,0,38902,,
1000002,14,M,55+,16,C,4+,0,98339,,
1000002,15,M,55+,16,C,4+,0,81661,,
1000002,16,M,55+,16,C,4+,0,166544,,
1000002,17,M,55+,16,C,4+,0,71245,,
1000002,18,M,55+,16,C,4+,0,6968,,
1000002,20,M,55+,16,C,4+,0,119,,
1000003,1,M,26-35,15,A,3,0,228578,,
1000003,2,M,26-35,15,A,3,0,226227,,
1000003,3,M,26-35,15,A,3,0,10906,,
1000003,4,M,26-35,15,A,3,0,10906,,
1000003,5,M,26-35,15,A,3,0,144998,,
1000003,8,M,26-35,15,A,3,0,64031,,
1000003,11,M,26-35,15,A,3,0,27109,,
1000003,14,M,26-35,15,A,3,0,34668,,
1000003,15,M,26-35,15,A,3,0,15683,,
1000003,16,M,26-35,15,A,3,0,25004,,
1000003,18,M,26-35,15,A,3,0,45099,,
1000004,1,M,46-50,7,B,2,1,205987,,
1000004,2,M,46-50,7,B,2,1,62809,,
1000004,6,M,46-50,7,B,2,1,19128,,
1000004,8,M,46-50,7,B,2,1,35068,,
