prob,orig
0.627,0.18600000000000003
0.236,0.23399999999999999
0.627,0.18600000000000003
1.372,1.962
2.033,2.03
2.033,2.03
0.236,0.23399999999999999
0.952,0.22
0.432,0.434
0.432,0.434
0.627,0.18600000000000003
0.236,0.23399999999999999
0.627,0.18600000000000003
0.435,0.439
0.056,0.055999999999999994
0.271,0.282
1.668,1.652
0.271,0.282
0.759,0.772
0.432,0.434
0.000,0.191
0.759,0.772
0.056,0.055999999999999994
0.759,0.772
0.261,0.255
1.853,1.8530000000000002
0.236,0.23399999999999999
0.627,0.18600000000000003
0.528,0.49
1.372,1.962
0.528,0.49
0.418,0.43
1.050,1.073
0.543,0.518
0.952,0.22
1.208,1.21
0.759,0.772
0.186,0.185
0.186,0.185
0.912,1.611
0.746,0.1
0.190,0.145
0.226,0.22399999999999998
1.050,1.073
0.411,0.466
1.372,1.962
0.508,0.165
0.291,0.445
0.435,0.439
0.186,0.185
0.302,0.22399999999999998
0.236,0.23399999999999999
0.236,0.23399999999999999
0.236,0.23399999999999999
0.301,0.307
0.271,0.282
1.372,1.962
0.236,0.23399999999999999
0.301,0.307
0.535,0.547
0.622,0.622
1.566,1.615
0.515,0.36700000000000005
0.840,0.8079999999999999
0.324,0.318
1.978,0.25
0.056,0.055999999999999994
0.279,0.289
1.331,1.321
0.435,0.439
0.622,0.622
0.435,0.439
0.612,0.613
1.249,1.249
0.329,0.321
0.000,0.05
0.056,0.055999999999999994
0.938,0.9179999999999999
1.331,1.321
0.066,0.073
0.543,0.518
0.432,0.434
0.952,0.22
0.214,0.20800000000000002
0.271,0.282
0.345,0.314
0.190,0.145
0.056,0.055999999999999994
0.938,0.9179999999999999
0.363,0.375
0.627,0.18600000000000003
1.513,1.515
1.668,1.652
0.255,1.225
1.895,1.891
0.302,0.22399999999999998
0.066,0.073
0.163,0.158
0.535,0.547
0.877,0.875
0.393,0.401
0.000,0.05
0.578,1.8730000000000002
1.249,1.249
1.328,0.69
0.136,0.15
0.066,0.073
0.485,0.479
0.363,0.375
0.145,0.138
0.357,0.28800000000000003
0.469,0.452
0.056,0.055999999999999994
0.938,0.9179999999999999
1.208,1.21
0.464,0.43
1.302,1.296
0.363,0.375
0.746,0.1
0.912,1.611
0.843,0.903
1.819,1.9080000000000001
0.136,0.15
0.154,0.235
0.968,0.9640000000000001
0.186,0.185
1.249,1.249
1.668,1.652
0.411,0.466
0.435,0.439
0.136,0.15
0.357,0.28800000000000003
0.411,0.466
1.101,1.1179999999999999
0.597,0.6
0.931,0.9570000000000001
1.348,1.544
0.066,0.073
0.355,0.375
0.608,0.595
0.302,0.22399999999999998
0.645,0.414
2.731,2.775
1.372,1.962
0.469,0.452
0.418,0.43
0.622,0.622
0.411,0.466
0.206,0.16899999999999998
0.608,0.595
0.576,0.486
0.338,0.39299999999999996
0.271,0.242
0.190,0.145
1.172,0.948
0.043,0.03
0.390,0.39399999999999996
0.166,0.13
2.731,2.775
1.925,2.1109999999999998
0.261,0.255
0.746,0.1
1.242,1.433
0.654,0.6509999999999999
0.769,0.772
0.186,0.185
0.279,0.289
0.578,1.8730000000000002
0.498,0.426
0.066,0.073
0.291,0.445
2.238,2.246
0.153,0.177
0.528,0.49
0.000,0.05
0.166,0.13
0.513,0.503
0.357,0.28800000000000003
0.915,0.9129999999999999
0.578,1.8730000000000002
1.354,1.296
2.033,2.03
0.411,0.466
0.645,0.414
0.682,0.648
0.230,0.271
0.578,0.62
0.843,0.903
0.085,0.08900000000000001
0.670,0.5870000000000001
0.901,0.915
0.436,0.672
0.066,0.073
0.012,0.067
0.469,0.452
0.280,0.247
0.173,0.179
1.249,1.249
0.156,0.20800000000000002
1.348,1.544
0.056,0.055999999999999994
0.279,0.289
0.291,0.445
0.377,0.457
1.070,1.07
0.338,0.39299999999999996
0.000,0.05
0.390,0.39399999999999996
0.154,0.235
0.374,0.38799999999999996
0.300,0.534
0.271,0.243
1.328,0.69
0.645,0.645
0.393,0.401
1.969,1.964
0.856,0.883
0.912,1.611
0.627,0.18600000000000003
0.347,0.316
1.221,1.296
0.856,0.883
0.136,0.15
0.578,0.62
0.035,0.045
0.464,0.43
0.672,0.674
0.850,0.86
0.877,0.875
0.000,0.191
0.065,0.065
0.368,0.368
0.769,0.772
1.566,1.615
0.347,0.316
0.094,0.075
0.363,0.375
0.856,0.883
0.406,0.373
0.532,0.484
1.055,1.023
0.432,0.434
0.145,0.138
0.271,0.243
0.255,1.225
1.969,1.964
0.195,0.192
2.238,2.246
0.000,0.191
0.195,0.192
1.888,1.9
0.261,0.255
0.190,0.145
0.565,0.655
0.043,0.03
0.326,0.319
1.566,1.615
0.576,0.486
3.117,2.362
0.576,0.486
4.307,4.355
0.769,0.772
0.186,0.185
1.592,1.3130000000000002
0.498,0.426
2.947,1.7309999999999999
1.995,1.984
0.485,0.479
0.931,0.9570000000000001
1.193,1.175
1.445,1.421
0.236,0.23399999999999999
2.064,2.048
1.291,1.297
0.627,0.18600000000000003
0.289,0.289
0.132,0.12300000000000001
0.130,0.14
0.256,0.251
0.532,0.484
0.305,0.045
0.172,0.18600000000000003
0.035,0.045
0.324,0.318
0.214,0.20800000000000002
1.331,1.321
1.193,1.175
0.357,0.354
0.012,0.067
1.888,1.9
0.000,0.184
0.508,0.165
0.324,0.318
0.912,1.611
1.268,1.2670000000000001
0.912,1.611
0.457,0.47700000000000004
4.307,4.355
1.056,1.879
0.759,0.772
1.121,1.298
0.142,0.128
0.856,0.883
1.530,1.1440000000000001
0.576,0.486
0.153,0.182
0.153,0.152
1.172,0.948
0.469,0.452
0.035,0.045
0.129,0.133
0.597,0.6
1.511,1.514
1.227,1.2930000000000001
0.936,0.897
0.153,0.177
0.271,0.243
0.000,0.054000000000000006
0.513,0.503
1.853,1.8530000000000002
0.194,0.175
1.668,1.652
1.082,1.099
1.664,1.6740000000000002
0.769,0.772
0.464,0.43
0.281,0.23800000000000002
0.000,0.138
0.274,0.27899999999999997
1.969,1.964
0.347,0.316
0.877,0.875
0.432,0.434
0.843,0.903
0.480,0.523
1.045,1.037
1.052,1.0390000000000001
1.348,1.544
0.432,0.434
0.769,0.772
0.769,0.772
2.230,2.347
0.163,0.158
0.529,0.47100000000000003
0.549,0.52
0.315,0.327
0.136,0.15
0.645,0.414
0.164,0.168
0.357,0.28800000000000003
0.597,0.6
0.576,0.486
0.915,0.9129999999999999
1.449,1.472
0.230,0.271
0.440,0.424
1.242,1.433
0.142,0.128
0.000,0.13
0.000,0.332
0.135,0.135
1.736,1.734
0.431,0.451
0.079,0.096
0.206,0.16899999999999998
0.531,0.42700000000000005
0.066,0.073
1.268,1.2670000000000001
1.038,1.641
0.843,0.903
2.064,2.048
1.601,1.63
0.305,0.045
1.228,1.199
1.615,1.59
1.446,0.091
0.627,0.18600000000000003
1.217,1.215
1.925,2.1109999999999998
3.505,3.508
0.763,0.748
0.338,0.312
0.388,0.33799999999999997
3.413,3.42
1.070,1.07
0.659,0.706
0.529,0.47100000000000003
2.219,2.215
0.653,0.35100000000000003
0.638,0.637
0.622,0.622
0.418,0.43
1.761,1.7469999999999999
1.348,1.544
0.855,0.057
0.000,0.535
0.469,0.452
0.324,0.318
1.647,1.624
0.967,0.965
1.386,1.402
1.129,0.483
0.780,0.7859999999999999
0.213,0.257
1.925,2.1109999999999998
0.608,0.595
1.189,1.1340000000000001
1.668,1.652
1.061,0.469
0.411,0.466
0.284,0.33399999999999996
1.193,1.175
0.863,0.9079999999999999
0.661,0.6729999999999999
1.761,1.7469999999999999
0.638,0.637
1.253,1.127
1.055,1.093
0.849,0.905
0.514,0.499
1.107,2.5140000000000002
1.526,0.987
0.681,0.29600000000000004
0.191,0.187
0.916,0.912
1.511,1.514
0.402,0.379
0.600,0.596
0.355,0.375
1.530,1.1440000000000001
1.281,1.2770000000000001
1.922,1.923
0.102,0.042
0.312,0.33799999999999997
0.326,0.319
0.855,0.057
0.347,0.361
0.612,0.613
0.000,0.05
0.915,0.9129999999999999
0.279,0.289
0.226,0.22399999999999998
1.513,1.515
3.413,3.42
1.572,1.58
3.212,3.2039999999999997
0.300,0.34299999999999997
1.922,1.923
0.284,0.324
1.303,0.971
1.107,2.5140000000000002
1.189,1.1340000000000001
0.165,0.184
0.165,0.184
0.701,0.395
0.110,0.11599999999999999
0.301,0.307
2.217,2.2119999999999997
0.956,0.958
0.535,0.547
0.916,0.912
0.119,0.10800000000000001
0.469,0.452
0.549,1.005
0.440,0.424
1.446,0.091
0.543,0.518
1.121,1.298
0.132,0.12300000000000001
1.508,1.49
2.110,2.133
1.242,1.433
0.826,0.81
1.507,1.494
0.000,0.138
0.440,0.424
1.172,0.948
1.640,1.685
0.026,0.326
1.843,1.8430000000000002
1.070,1.07
0.549,1.005
0.759,0.759
0.324,0.301
0.355,0.375
1.513,1.515
5.084,5.092
